SonicOS 6.5.4 API Reference Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-api-reference-guide.pdf,,320,NSa Series,nsa-series-1,tech-docs-category,The SonicWall SonicOS API 6.5.4 Reference Guide lists and describes the SonicOS API functions and configurations.,,,SonicOS 6.5.4 API Reference Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-api-reference-guide/"">SonicOS 6.5.4 API Reference Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-api-reference-guide.pdf"">SonicOS 6.5.4 API Reference Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-api-reference-guide.pdf,sonicos-6-5-4-api-reference-guide,API Reference,,,YES,,320,NSa Series,Firewalls,English,nsa-series-1,tech-docs-category,Issues found,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5.4 API Reference Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-api-reference-guide.pdf,,306,SuperMassive 9000 Series,supermassive-9000-series,tech-docs-category,The SonicWall SonicOS API 6.5.4 Reference Guide lists and describes the SonicOS API functions and configurations.,,,SonicOS 6.5.4 API Reference Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-api-reference-guide/"">SonicOS 6.5.4 API Reference Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-api-reference-guide.pdf"">SonicOS 6.5.4 API Reference Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-api-reference-guide.pdf,sonicos-6-5-4-api-reference-guide,API Reference,,,YES,,306,SuperMassive 9000 Series,Secure Wireless,English,supermassive-9000-series,tech-docs-category,Issues found,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5.4 API Reference Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-api-reference-guide.pdf,,279,TZ Series,tz-series,tech-docs-category,The SonicWall SonicOS API 6.5.4 Reference Guide lists and describes the SonicOS API functions and configurations.,,,SonicOS 6.5.4 API Reference Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-api-reference-guide/"">SonicOS 6.5.4 API Reference Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-api-reference-guide.pdf"">SonicOS 6.5.4 API Reference Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-api-reference-guide.pdf,sonicos-6-5-4-api-reference-guide,API Reference,,,YES,,279,TZ Series,Secure Wireless,English,tz-series,tech-docs-category,Issues found,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5.4 Log Events Reference Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-log-events-reference-guide.pdf,,191,NSA Series,nsa-series,tech-docs-category,"This reference guide lists and describes the SonicWall SonicOS log event messages for the SonicOS 6.5.4 release on SonicWall SuperMassive, NSa , NSA, TZ, SOHO 250/250W, and SOHO W appliances.",,,SonicOS 6.5.4 Log Events Reference Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-log-events-reference-guide/"">SonicOS 6.5.4 Log Events Reference Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-log-events-reference-guide.pdf"">SonicOS 6.5.4 Log Events Reference Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-log-events-reference-guide.pdf,sonicos-6-5-4-log-events-reference-guide,Reference,,,YES,,191,NSA Series,Firewalls,English,nsa-series,tech-docs-category,Yes,,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5.4 Log Events Reference Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-log-events-reference-guide.pdf,,320,NSa Series,nsa-series-1,tech-docs-category,"This reference guide lists and describes the SonicWall SonicOS log event messages for the SonicOS 6.5.4 release on SonicWall SuperMassive, NSa , NSA, TZ, SOHO 250/250W, and SOHO W appliances.",,,SonicOS 6.5.4 Log Events Reference Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-log-events-reference-guide/"">SonicOS 6.5.4 Log Events Reference Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-log-events-reference-guide.pdf"">SonicOS 6.5.4 Log Events Reference Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-log-events-reference-guide.pdf,sonicos-6-5-4-log-events-reference-guide,Reference,,,YES,,320,NSa Series,Firewalls,English,nsa-series-1,tech-docs-category,Yes,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5.4 Log Events Reference Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-log-events-reference-guide.pdf,,306,SuperMassive 9000 Series,supermassive-9000-series,tech-docs-category,"This reference guide lists and describes the SonicWall SonicOS log event messages for the SonicOS 6.5.4 release on SonicWall SuperMassive, NSa , NSA, TZ, SOHO 250/250W, and SOHO W appliances.",,,SonicOS 6.5.4 Log Events Reference Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-log-events-reference-guide/"">SonicOS 6.5.4 Log Events Reference Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-log-events-reference-guide.pdf"">SonicOS 6.5.4 Log Events Reference Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-log-events-reference-guide.pdf,sonicos-6-5-4-log-events-reference-guide,Reference,,,YES,,306,SuperMassive 9000 Series,Secure Wireless,English,supermassive-9000-series,tech-docs-category,Yes,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicOS 6.5.4 Log Events Reference Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-log-events-reference-guide.pdf,,279,TZ Series,tz-series,tech-docs-category,"This reference guide lists and describes the SonicWall SonicOS log event messages for the SonicOS 6.5.4 release on SonicWall SuperMassive, NSa , NSA, TZ, SOHO 250/250W, and SOHO W appliances.",,,SonicOS 6.5.4 Log Events Reference Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-log-events-reference-guide/"">SonicOS 6.5.4 Log Events Reference Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-log-events-reference-guide.pdf"">SonicOS 6.5.4 Log Events Reference Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicos-6-5-4-log-events-reference-guide.pdf,sonicos-6-5-4-log-events-reference-guide,Reference,,,YES,,279,TZ Series,Secure Wireless,English,tz-series,tech-docs-category,Yes,duplicate for QA,Joe,Converted,Mapped,DUPLICATE URL
SonicPoint ACe Getting Started Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-ace-getting-started-guide.pdf,,265,SonicPoint Series,sonicpoint-series,tech-docs-category,This Getting Started Guide provides instructions for basic installation and configuration of the SonicWall SonicPoint ACe wireless access point in single‐unit or multi‐unit wireless deployments.,-,,SonicPoint ACe Getting Started Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-ace-getting-started-guide/"">SonicPoint ACe Getting Started Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-ace-getting-started-guide.pdf"">SonicPoint ACe Getting Started Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-ace-getting-started-guide.pdf,sonicpoint-ace-getting-started-guide,Quick Start Guide,,,,,265,SonicPoint Series,Secure Remote Access,English,sonicpoint-series,tech-docs-category,Yes,,Joe,Converted,Mapped,
SonicPoint ACe Safety and Regulatory Information,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-ace-safety-and-regulatory-information.pdf,,265,SonicPoint Series,sonicpoint-series,tech-docs-category,This document contains safety and regulatory information for the SonicWall SonicPoint ACe. The SonicPoint ACe is a wireless access point with an internal wireless radio that can provide wireless access on either 5GHz or 2.4GHz and supports the 802.11 ac/n/g/a/b standards.,Firewalls,SuperMassive,SonicPoint ACe Safety and Regulatory Information,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-ace-safety-and-regulatory-information/"">SonicPoint ACe Safety and Regulatory Information</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-ace-safety-and-regulatory-information.pdf"">SonicPoint ACe Safety and Regulatory Information</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-ace-safety-and-regulatory-information.pdf,sonicpoint-ace-safety-and-regulatory-information,Regulatory,,,,,265,SonicPoint Series,Secure Remote Access,English,sonicpoint-series,tech-docs-category,Yes,,Joe,Converted,Mapped,
SonicPoint ACi Getting Started Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-aci-getting-started-guide.pdf,,265,SonicPoint Series,sonicpoint-series,tech-docs-category,This Getting Started Guide provides instructions for basic installation and configuration of the SonicWall SonicPoint ACi wireless access point in single‐unit or multi‐unit wireless deployments.,Firewalls,SuperMassive,SonicPoint ACi Getting Started Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-aci-getting-started-guide/"">SonicPoint ACi Getting Started Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-aci-getting-started-guide.pdf"">SonicPoint ACi Getting Started Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-aci-getting-started-guide.pdf,sonicpoint-aci-getting-started-guide,Quick Start Guide,,,,,265,SonicPoint Series,Secure Remote Access,English,sonicpoint-series,tech-docs-category,Yes,,Joe,Converted,Mapped,
SonicPoint ACi Safety and Regulatory Information,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-aci-safety-and-regulatory-information.pdf,,265,SonicPoint Series,sonicpoint-series,tech-docs-category,"This document contains safety and regulatory information for the SonicWall SonicPoint ACi, per Regulatory model number APL27-0B1, July 2017. The SonicPoint ACi is a wireless access point with an internal wireless radio that can provide wireless access on either 5GHz or 2.4GHz and supports the 802.11 ac/n/g/a/b standards.",Firewalls,SuperMassive,SonicPoint ACi Safety and Regulatory Information,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-aci-safety-and-regulatory-information/"">SonicPoint ACi Safety and Regulatory Information</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-aci-safety-and-regulatory-information.pdf"">SonicPoint ACi Safety and Regulatory Information</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-aci-safety-and-regulatory-information.pdf,sonicpoint-aci-safety-and-regulatory-information,Regulatory,,,,,265,SonicPoint Series,Secure Remote Access,English,sonicpoint-series,tech-docs-category,Yes,,Joe,Converted,Mapped,
SonicPoint N2 Getting Started Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-n2-getting-started-guide.pdf,,265,SonicPoint Series,sonicpoint-series,tech-docs-category,This Getting Started Guide provides instructions for basic installation and configuration of the SonicWall SonicPoint N2 wireless access point in single‐unit or multi‐unit wireless deployments.,Firewalls,SuperMassive,SonicPoint N2 Getting Started Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-n2-getting-started-guide/"">SonicPoint N2 Getting Started Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-n2-getting-started-guide.pdf"">SonicPoint N2 Getting Started Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-n2-getting-started-guide.pdf,sonicpoint-n2-getting-started-guide,Quick Start Guide,,,,,265,SonicPoint Series,Secure Remote Access,English,sonicpoint-series,tech-docs-category,Yes,,Joe,Converted,Mapped,
SonicPoint N2 Safety and Regulatory Information,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-n2-safety-and-regulatory-information.pdf,,265,SonicPoint Series,sonicpoint-series,tech-docs-category,This document contains safety and regulatory information for the SonicWall SonicPoint N2. The SonicPoint N2 is a wireless access point with an internal wireless radio that can provide wireless access on either 5GHz or 2.4GHz and supports the 802.11 n/g/a/b standards.,-,-,SonicPoint N2 Safety and Regulatory Information,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-n2-safety-and-regulatory-information/"">SonicPoint N2 Safety and Regulatory Information</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-n2-safety-and-regulatory-information.pdf"">SonicPoint N2 Safety and Regulatory Information</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicpoint-n2-safety-and-regulatory-information.pdf,sonicpoint-n2-safety-and-regulatory-information,Regulatory,,,,,265,SonicPoint Series,Secure Remote Access,English,sonicpoint-series,tech-docs-category,Yes,,Joe,Converted,Mapped,
SonicWave 200 Series Power Supply Reference Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-200-series-power-supply-reference-guide.pdf,,269,SonicWave Series,sonicwave-series,tech-docs-category,"This reference guide is an overview of SonicWall SonicWave 2xx Series power supply and provides SKU, item description, specifications, and supported platforms.",-,-,SonicWave 200 Series Power Supply Reference Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-200-series-power-supply-reference-guide/"">SonicWave 200 Series Power Supply Reference Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-200-series-power-supply-reference-guide.pdf"">SonicWave 200 Series Power Supply Reference Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-200-series-power-supply-reference-guide.pdf,sonicwave-200-series-power-supply-reference-guide,Reference,,,,,269,SonicWave Series,Secure Wireless,English,sonicwave-series,tech-docs-category,Yes,,Joe,Converted,Mapped,
SonicWave 224w Quick Start Card,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-224w-quick-start-card.pdf,,269,SonicWave Series,sonicwave-series,tech-docs-category,"This quick start guide is for the SonicWall SonicWave appliance and includes instructions for registering, connecting, powering up, and managing resources.",-,-,SonicWave 224w Quick Start Card,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-224w-quick-start-card/"">SonicWave 224w Quick Start Card</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-224w-quick-start-card.pdf"">SonicWave 224w Quick Start Card</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-224w-quick-start-card.pdf,sonicwave-224w-quick-start-card,Quick Start Guide,,,,,269,SonicWave Series,Secure Wireless,English,sonicwave-series,tech-docs-category,Yes,,Joe,Converted,Mapped,
SonicWave 224w Regulatory/Legal Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-224w-regulatory-legal-guide.pdf,,269,SonicWave Series,sonicwave-series,tech-docs-category,"This document provides Safety, Regulatory and Legal Information for SonicWall SonicWave 224w appliance per APL45-0D0. It includes summary installation instructions in multiple languages.",-,-,SonicWave 224w Regulatory/Legal Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-224w-regulatory-legal-guide/"">SonicWave 224w Regulatory/Legal Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-224w-regulatory-legal-guide.pdf"">SonicWave 224w Regulatory/Legal Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-224w-regulatory-legal-guide.pdf,sonicwave-224w-regulatory-legal-guide,Regulatory,,,,,269,SonicWave Series,Secure Wireless,English,sonicwave-series,tech-docs-category,Issues found,Unable to read text,Joe,Converted,Mapped,
SonicWave 224w Safety and Regulatory Statement,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-224w-safety-and-regulatory-statement.pdf,,269,SonicWave Series,sonicwave-series,tech-docs-category,This document contains safety and regulatory information for the SonicWall SonicWave 224w. The SonicWave 224w is a wireless access point with an internal wireless radio that can provide wireless access on either 5GHz or 2.4GHz and supports the 802.11 ac/n/g/a/b standards.,-,-,SonicWave 224w Safety and Regulatory Statement,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-224w-safety-and-regulatory-statement/"">SonicWave 224w Safety and Regulatory Statement</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-224w-safety-and-regulatory-statement.pdf"">SonicWave 224w Safety and Regulatory Statement</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-224w-safety-and-regulatory-statement.pdf,sonicwave-224w-safety-and-regulatory-statement,Regulatory,,,,,269,SonicWave Series,Secure Wireless,English,sonicwave-series,tech-docs-category,Yes,,Joe,Converted,Mapped,
SonicWave 224w Standoff Mounting Plate Installation Guide,https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-224w-standoff-mounting-plate-installation-guide.pdf,,269,SonicWave Series,sonicwave-series,tech-docs-category,The SonicWall SonicWave 224w Standoff Mounting Plate Installation Guide provides complete step-by-step instructions for connecting the PoE and network cables and then attaching the SonicWave 224w to the Standoff Mounting Plate.,-,-,SonicWave 224w Standoff Mounting Plate Installation Guide,"<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-224w-standoff-mounting-plate-installation-guide/"">SonicWave 224w Standoff Mounting Plate Installation Guide</a>","[swlightbox]<a href =""https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-224w-standoff-mounting-plate-installation-guide.pdf"">SonicWave 224w Standoff Mounting Plate Installation Guide</a>[/swlightbox]",https://techdocs.sonicwall.com/wp-content/uploads/pdf/sonicwave-224w-standoff-mounting-plate-installation-guide.pdf,sonicwave-224w-standoff-mounting-plate-installation-guide,Installation Guide,,,,,269,SonicWave Series,Secure Wireless,English,sonicwave-series,tech-docs-category,Issues found,Text is not clear,Joe,Converted,Mapped,
